ITEM,ITEM_NAME,ITEM_SIZE,CATEGORY_NAME,OUNCE,CUSTARD_TYPE
1006,Sm Concrete,Small,Concretes,10.5,vanilla
1007,Med. Concrete,Medium ,Concretes,14.5,vanilla
1008,Large Concrete,Large,Concretes,21,vanilla
1011,Sm Br Hot Fdge,Small,Concretes,10.5,vanilla
1012,Md Br Hot Fudge,Medium ,Concretes,14.5,vanilla
1013,Lg Br Hot Fudge,Large,Concretes,21,vanilla
1021,Sm Gooey Concrt,Small,Concretes,10.5,vanilla
1022,Md Gooey Concrt,Medium ,Concretes,14.5,vanilla
1023,Lg Gooey Concrt,Large,Concretes,21,vanilla
1026,Sm Chock-O,Small,Concretes,10.5,chocolate
1027,Med. Chock-O,Medium ,Concretes,14.5,chocolate
1028,Lg Chock-O,Large,Concretes,21,chocolate
1031,Sm Btr Pcn Conc,Small,Concretes,10.5,vanilla
1032,Md Btr Pcn Conc,Medium ,Concretes,14.5,vanilla
1033,Lg Btr Pcn Conc,Large,Concretes,21,vanilla
1036,Sm Cherry Bash,Small,Concretes,10.5,vanilla
1037,Md Cherry Bash,Medium ,Concretes,14.5,vanilla
1038,Lg Cherry\nBash,Large,Concretes,21,vanilla
1041,Sm Jackhmr Conc,Small,Concretes,10.5,vanilla
1042,Md Jackhmr Conc,Medium ,Concretes,14.5,vanilla
1043,Lg Jackhmr Conc,Large,Concretes,21,vanilla
1046,Sm Thin Mint,Small,Concretes,10.5,vanilla
1047,Md Thin Mint,Medium ,Concretes,14.5,vanilla
1048,Lg Thin Mint,Large,Concretes,21,vanilla
1051,Sm ThinMintJack,Small,Concretes,10.5,vanilla
1052,Md ThinMintJack,Medium ,Concretes,14.5,vanilla
1053,Lg ThinMintJack,Large,Concretes,21,vanilla
1056,Sm James Brown,Small,Concretes,10.5,vanilla
1057,Md James Brown,Medium ,Concretes,14.5,vanilla
1058,Lg James Brown,Large,Concretes,21,vanilla
1061,Sm Crunch,Small,Concretes,10.5,vanilla
1062,Med. Crunch,Medium ,Concretes,14.5,vanilla
1063,Lg Crunch,Large,Concretes,21,vanilla
1066,Sm Snow Monster,Small,Concretes,10.5,vanilla
1067,Md Snow Monster,Medium ,Concretes,14.5,vanilla
1068,Lg Snow Monster,Large,Concretes,21,vanilla
1071,Sm App Pie Jmr,Small,Concretes,10.5,vanilla
1072,Md App Pie Jmr,Medium ,Concretes,14.5,vanilla
1073,Lg App Pie Jmr,Large,Concretes,21,vanilla
1076,Sm Apple Pie,Small,Concretes,10.5,vanilla
1077,Med Apple Pie,Medium ,Concretes,14.5,vanilla
1078,Lg Apple Pie,Large,Concretes,21,vanilla
1081,Sm Mint Chip,Small,Concretes,10.5,vanilla
1082,Med Mint Chip,Medium ,Concretes,14.5,vanilla
1083,Lg Mint Chip,Large,Concretes,21,vanilla
1086,Sm Almond Joy,Small,Concretes,10.5,vanilla
1087,Med Almond Joy,Medium ,Concretes,14.5,vanilla
1088,LG Almond Joy,Large,Concretes,21,vanilla
1091,Sm KeyLime Pie,Small,Concretes,10.5,vanilla
1092,Md KeyLime Pie,Medium ,Concretes,14.5,vanilla
1093,Lg KeyLime Pie,Large,Concretes,21,vanilla
1096,Sm Jitterbug,Small,Concretes,10.5,vanilla
1097,Med Jitterbug,Medium ,Concretes,14.5,vanilla
1098,Lg Jitterbug,Large,Concretes,21,vanilla
1101,Sm Pumpkin Pie,Small,Concretes,10.5,vanilla
1102,Md Pumpkin Pie,Medium ,Concretes,14.5,vanilla
1103,Lg Pumpkin Pie,Large,Concretes,21,vanilla
1106,Sm Boot Daddy,Small,Concretes,10.5,vanilla
1107,Md Boot Daddy,Medium ,Concretes,14.5,vanilla
1108,Lg Boot Daddy,Large,Concretes,21,vanilla
1111,Sm Candy Cane,Small,Concretes,10.5,vanilla
1112,Md Candy Cane,Medium ,Concretes,14.5,vanilla
1113,Lg Candy Cane,Large,Concretes,21,vanilla
1116,Sm. Shtcke Cnc,Small,Concretes,10.5,vanilla
1117,Md. Shtcke Cnc,Medium ,Concretes,14.5,vanilla
1118,Lg Shtcke Cnc,Large,Concretes,21,vanilla
1126,Sm Shtcke Cnc,Small,Concretes,10.5,vanilla
1127,Med Shtcke Cnc,Medium ,Concretes,14.5,vanilla
1128,Lg Shtcke Cnc,Large,Concretes,21,vanilla
1131,Sm German Cnc,Small,Concretes,10.5,chocolate
1132,Med German Cnc,Medium ,Concretes,14.5,chocolate
1133,Lg German Cnc,Large,Concretes,21,chocolate
1141,Sm Rico Sauve,Small,Concretes,10.5,vanilla
1142,Med Rico Sauve,Medium ,Concretes,14.5,vanilla
1143,Lg Rico Sauve,Large,Concretes,21,vanilla
1161,Sm Blackberry,Small,Concretes,10.5,vanilla
1162,Med Blackberry,Medium ,Concretes,14.5,vanilla
1163,Lg Blackberry,Large,Concretes,21,vanilla
1166,Sm Peach,Small,Concretes,10.5,vanilla
1167,Med Peach,Medium ,Concretes,14.5,vanilla
1168,Lg Peach Concrt,Large,Concretes,21,vanilla
1176,Sm Trp Choc Cnt,Small,Concretes,10.5,chocolate
1177,Md Trp Choc Cnt,Medium ,Concretes,14.5,chocolate
1178,Lg Trp Choc Cnt,Large,Concretes,21,chocolate
1181,Sm Hog Heaven,Small,Concretes,10.5,vanilla
1182,Md Hog Heaven,Medium ,Concretes,14.5,vanilla
1183,Lg Hog Heaven,Large,Concretes,21,vanilla
1186,Sm Blueberry,Small,Concretes,10.5,vanilla
1187,Md Blueberry,Medium ,Concretes,14.5,vanilla
1188,Lg Blueberry,Large,Concretes,21,vanilla
50010,SM Drury Cnt,Small,Concretes,10.5,vanilla
50011,Md Drury Cnt,Medium ,Concretes,14.5,vanilla
50012,Lg Drury Cnt,Large,Concretes,21,vanilla
50019,Sm Boomer Bear,Small,Concretes,10.5,vanilla
50020,Med Boomer Bear,Medium ,Concretes,14.5,vanilla
50021,Lg Boomer Bear,Large,Concretes,21,vanilla
50026,Sm KY3,Small,Concretes,10.5,vanilla
50027,Med KY3,Medium ,Concretes,14.5,vanilla
50028,Lg KY3,Large,Concretes,21,vanilla
50031,Sm Muddy Conc,Small,Concretes,10.5,vanilla
50032,Md Muddy,Medium ,Concretes,14.5,vanilla
50033,Lg Muddy,Large,Concretes,21,vanilla
50041,Sm Traffic Jam,Small,Concretes,10.5,vanilla
50042,Md Traffic Jam,Medium ,Concretes,14.5,vanilla
50043,Lg Traffic Jam,Large,Concretes,21,vanilla
50051,Sm Lil Digger,Small,Concretes,10.5,vanilla
50052,Md Lil Digger,Medium ,Concretes,14.5,vanilla
50053,LG Lil Digger,Large,Concretes,21,vanilla
50061,Sm BLING,Small,Concretes,10.5,vanilla
50062,Md BLING,Medium ,Concretes,14.5,vanilla
50063,Lg BLING,Large,Concretes,21,vanilla
50066,Sm Magic Rasp,Small,Concretes,10.5,vanilla
50067,Md Magic Rasp,Medium ,Concretes,14.5,vanilla
50068,Lg Magic Rasp,Large,Concretes,21,vanilla
50080,Sm Red Velvet,Small,Concretes,10.5,vanilla
50081,Md Red Velvet,Medium ,Concretes,14.5,vanilla
50082,Lg Red Velvet,Large,Concretes,21,vanilla
50092,Sm Highrise,Small,Concretes,10.5,vanilla
50093,Md Highrise,Medium ,Concretes,14.5,vanilla
50094,Lg Highrise,Large,Concretes,21,vanilla
50102,Sm Turtle Concr,Small,Concretes,10.5,vanilla
50103,Md Turtle Concr,Medium ,Concretes,14.5,vanilla
50104,Lg Turtle Concr,Large,Concretes,21,vanilla
50112,Sm Wild Woody,Small,Concretes,10.5,vanilla
50113,Md Wild Woody,Medium ,Concretes,14.5,vanilla
50114,Lg Wild Woody,Large,Concretes,21,vanilla
50122,Sm Quack Attack,Small,Concretes,10.5,vanilla
50123,Md Quack Attack,Medium ,Concretes,14.5,vanilla
50124,Lg Quack Attack,Large,Concretes,21,vanilla
50132,Sm It Concrete,Small,Concretes,10.5,vanilla
50133,Md It Concrete,Medium ,Concretes,14.5,vanilla
50134,Lg It Concrete,Large,Concretes,21,vanilla
50152,SM  Kapau Concr,Small,Concretes,10.5,vanilla
50153,MD Kapau Concre,Medium ,Concretes,14.5,vanilla
50154,LG Kapau Cncrt,Large,Concretes,21,vanilla
50162,SM VOO CREW,Small,Concretes,10.5,vanilla
50163,MD VOO CREW,Medium ,Concretes,14.5,vanilla
50164,LG VOO CREW,Large,Concretes,21,vanilla
50202,Sm RR Express,Small,Concretes,10.5,vanilla
50203,Md RR Express,Medium ,Concretes,14.5,vanilla
50204,LG RR Express,Large,Concretes,21,vanilla
4060,Kids Sundae,kid,Sundaes,4,vanilla
4061,1/2 Custom Sund,kid,Sundaes,4,vanilla
4062,Custom Sundae,regular,Sundaes,8.5,vanilla
4063,Lg Custom Sund,Large,Sundaes,11.5,vanilla
4066,Kids Sprinkle S,kid,Sundaes,4,vanilla
4070,K-Tin Roof Sund,kid,Sundaes,4,vanilla
4071,1/2 Tin Rf Sund,kid,Sundaes,4,vanilla
4072,Tin Roof Sundae,regular,Sundaes,8.5,vanilla
4073,Lg Tin Roof Snd,Large,Sundaes,11.5,vanilla
4090,K Turtle Sundae,kid,Sundaes,4,vanilla
4091,1/2 Turtle Sund,kid,Sundaes,4,vanilla
4092,Oz Turtle Sunda,regular,Sundaes,8.5,vanilla
4093,Lg Turtle Sunda,Large,Sundaes,11.5,vanilla
4100,Kids Sundae,kid,Sundaes,4,vanilla
4110,K Ht Fge Sund,kid,Sundaes,4,vanilla
4111,1/2 Ht Fge Sund,kid,Sundaes,4,vanilla
4112,Hot Fge Sundae,regular,Sundaes,8.5,vanilla
4113,Lg Hot Fge Sund,Large,Sundaes,11.5,vanilla
4120,K Hot Fdg Pec,kid,Sundaes,4,vanilla
4121,1/2 Fdg Pecans,kid,Sundaes,4,vanilla
4122,Hot Fdg Pecans,regular,Sundaes,8.5,vanilla
4123,LG Hot Fdg Pec,Large,Sundaes,11.5,vanilla
4140,K Strawana,kid,Sundaes,4,vanilla
4141,1/2 Strawana,kid,Sundaes,4,vanilla
4142,Sm Straw-Ana,regular,Sundaes,8.5,vanilla
4144,Lg Straw-Ana,Large,Sundaes,11.5,vanilla
4192,SM Peach Sundae,regular,Sundaes,8.5,vanilla
50036,Hot Anna,regular,Sundaes,8.5,vanilla
50071,1/2 Magic Milk,kid,Sundaes,4,vanilla
50072,Magic Milk,regular,Sundaes,8.5,vanilla
50073,Lg Magic Milk,Large,Sundaes,11.5,vanilla
1135,Child Cassanova,kid,HalfBaked_Sundaes,2.5,vanilla
1136,Rg Cassanova,regular,HalfBaked_Sundaes,5,vanilla
1137,Cass NO Almonds,regular,HalfBaked_Sundaes,5,vanilla
1138,1/2 Cass No Alm,kid,HalfBaked_Sundaes,2.5,vanilla
4012,App Pie Sundae,regular,HalfBaked_Sundaes,5,vanilla
